,[kg],[mm],[C],[m/s],[W/kg body mass]
Name,BodyMass,SVL,Temp,Velocity,Power
Os051,0.00618,50.8,30,3.295,272.7695027
Os141,0.006186,47.8,10,2.375,119.4145241
Os198,0.006208,48.8,20,2.745,200.9976578
Os146,0.006222,48.1,10,1.735,45.58911111
Os263,0.006246,49.6,20,2.785,178.7986521
Os227,0.006247,47.8,30,3.065,295.2704616
Os250,0.006301,48.32,20,2.855,202.6531587
Os175,0.006314,52.3,20,2.545,135.9378219
Os219,0.006416,53.4,30,2.855,174.8366554
Os098,0.006479,46.4,30,3.63,188.4611143
Os123,0.006586,53.7,30,3.235,272.2533537
Os215,0.006785,51.6,30,3.16,248.6128349
Os048,0.006937,49.8,30,3.41,347.9038841
Os188,0.006939,52,20,3.015,239.7408779
Os281,0.006965,45.91,20,2.865,214.6758026
Os231,0.007139,50.8,10,2.155,101.7044647
Os294,0.007233,51.97,10,2.11,87.31649692
Os121,0.007268,51.3,30,3.51,311.3443056
Os259,0.007281,54.9,20,2.975,211.4600737
Os120,0.007294,52.9,30,3.465,382.3725319
Os213,0.007359,55.2,30,2.97,209.1720239
Os076,0.007405,50.9,30,2.905,197.8072392
Os179,0.007481,55.4,20,2.94,228.2663059
Os222,0.007516,53.4,30,3.35,239.3742991
Os206,0.00756,57.1,20,3.16,253.123082
Os225,0.007636,54.2,30,3.31,186.7393281
Os110,0.007718,64.1,30,3.465,368.4307331
Os318,0.007737,55.74,10,2.27,110.7213206
Os217,0.007754,53.7,30,3.495,327.5540127
Os313,0.007798,57.58,10,2.15,80.90331318
Os038,0.00811,52,30,3.51,383.9157913
Os104,0.008404,52.5,30,2.965,204.3333184
Os086,0.008415,56.8,30,3.465,291.8818408
Os311,0.008475,56.82,10,1.945,59.14620412
Os187,0.008671,54.9,20,2.745,170.2612796
Os103,0.00871,59.7,30,3.47,338.0894785
Os067,0.00888,54.9,30,3.01,211.9502111
Os220,0.008897,53.8,30,3.36,312.2517854
Os125,0.00892,54.3,10,2.195,89.57652376
Os216,0.008946,57.9,30,2.775,149.3957927
Os174,0.009017,53.6,20,3.335,287.373054
Os221,0.009057,58.5,30,3.265,282.1507415
Os299,0.009267,54,10,2.16,72.77543653
Os203,0.009276,61.9,20,3.475,331.6606781
Os270,0.009376,52.44,20,3.23,275.3992676
Os192,0.009517,60.1,20,3.005,162.5991934
Os319,0.009714,60.01,10,2.095,73.93713451
Os247,0.009964,59.4,20,3.115,220.2815174
Os302,0.009976,58.73,10,2.245,88.78977829
Os085,0.010161,60.5,30,3.37,253.870588
Os040,0.01028,56,30,2.815,157.7978426
Os128,0.010453,56.5,10,2.385,112.9616365
Os107,0.010498,56.1,30,3.315,245.4206702
Os224,0.010533,60.7,30,3.375,252.0472994
Os122,0.010727,58.4,30,2.835,166.347175
Os305,0.010819,62.44,10,2.455,106.9820112
Os130,0.010891,59.8,10,2.415,113.9635276
Os092,0.0109,59.8,30,3.125,251.0970281
Os243,0.011001,59.3,10,2.165,85.70407599
Os303,0.011074,61.47,10,2.35,116.6615976
Os023,0.011626,58,30,3.01,177.5366132
Os261,0.012177,58.04,20,2.83,168.1537486
Os029,0.012183,61,30,3.045,187.2234077
Os273,0.012323,64.04,20,3.07,219.951231
Os317,0.012761,64.22,10,1.715,39.6299843
Os021,0.013237,69,30,3.29,244.6836609
Os149,0.013524,63.2,10,2.6,139.5695757
Os251,0.01371,61.86,20,2.595,121.1854946
Os320,0.014102,60.61,10,2.12,74.965892
Os266,0.014114,60.12,20,3.08,189.5213954
Os235,0.014393,68.1,10,2.385,95.43147646
Os124,0.014764,63.2,10,1.72,34.15092069
Os102,0.015643,65.5,30,3.31,240.8806054
Os037,0.01568,65,30,3.065,184.955693
Os256,0.016049,64.33,20,3.15,209.539421
Os241,0.016127,67.5,10,2.29,95.27394645
Os264,0.016293,68.06,20,3.16,179.4414314
Os236,0.016844,67.3,10,2.01,56.46065211
Os031,0.0174,69,30,3.3,200.2665779
Os310,0.017648,70.26,10,2.425,101.2332314
Os022,0.017766,70.2,30,2.76,137.3963895
Os309,0.018702,72.61,10,2.485,115.403308
Os257,0.018827,68.96,20,3.205,290.2137499
Os276,0.019326,65.93,20,2.52,96.57344665
Os304,0.019473,75.42,10,2.54,129.2039611
Os254,0.019544,71.48,20,3.37,246.5095379
Os277,0.020543,73.04,20,2.945,160.7599192
Os244,0.020601,73.5,10,2.355,93.57651209
Os028,0.020684,70,30,3.58,276.3122971
Os307,0.020803,76.33,10,2.26,89.33778459
Os312,0.021355,71.7,10,2.46,105.2500955
Os091,0.021571,74,30,3.085,192.8991901
Os265,0.023372,70.03,20,2.385,108.075578
Os036,0.0236,75,30,3.37,222.6799413
Os300,0.024522,74.98,10,2.545,118.6453105
Os252,0.024939,79.13,20,3.535,210.5153126
Os315,0.025987,77.55,10,2.355,90.56978679
Os030,0.028,81,30,3.55,258.8179537
Os274,0.028838,72.75,20,2.83,132.9633689
Os233,0.029983,80,10,2.695,106.9492104
Os272,0.032474,75.47,20,3.12,153.5520232
Os232,0.033886,85.6,10,2.235,70.13821438
Os316,0.034043,77.69,10,1.83,38.77815539
